user_id,customer_id,transaction_amount,transaction_type,transaction_date
97212561-e61a-45d2-a010-db6a0aeb379d,bcf64d87-f39b-4893-87cb-4306e440aab6,150000,credit,2021-08-14
cb5db925-7ce0-40ea-bb0d-f8bfaa21382a,bd4ad02b-7236-4726-b394-fb5b4cc04698,25000,credit,2021-06-01
cb5db925-7ce0-40ea-bb0d-f8bfaa21382a,bd4ad02b-7236-4726-b394-fb5b4cc04698,3000,credit,2021-06-20
cb5db925-7ce0-40ea-bb0d-f8bfaa21382a,bd4ad02b-7236-4726-b394-fb5b4cc04698,45000,credit,2021-07-13
cb5db925-7ce0-40ea-bb0d-f8bfaa21382a,bd4ad02b-7236-4726-b394-fb5b4cc04698,90000,credit,2021-05-16
cb5db925-7ce0-40ea-bb0d-f8bfaa21382a,bd4ad02b-7236-4726-b394-fb5b4cc04698,2000,credit,2021-08-03
5365ef22-136b-460e-bcf9-84ca42570d29,bd597254-cc9b-41e3-b4cf-931b2951ba52,578247,credit,2021-08-12
8de5f3b1-d688-46cd-822a-2abb952ddc4d,bda08c56-d105-4977-a341-e8fb6881937d,3000,credit,2021-06-21
8de5f3b1-d688-46cd-822a-2abb952ddc4d,bda08c56-d105-4977-a341-e8fb6881937d,5000,credit,2021-05-24
8de5f3b1-d688-46cd-822a-2abb952ddc4d,bda08c56-d105-4977-a341-e8fb6881937d,2000,credit,2021-07-28
8de5f3b1-d688-46cd-822a-2abb952ddc4d,bda08c56-d105-4977-a341-e8fb6881937d,8000,credit,2021-05-02
8de5f3b1-d688-46cd-822a-2abb952ddc4d,bda08c56-d105-4977-a341-e8fb6881937d,3000,credit,2021-05-14
8de5f3b1-d688-46cd-822a-2abb952ddc4d,bda08c56-d105-4977-a341-e8fb6881937d,10000,credit,2021-05-14
8de5f3b1-d688-46cd-822a-2abb952ddc4d,bda08c56-d105-4977-a341-e8fb6881937d,25000,credit,2021-05-14
8de5f3b1-d688-46cd-822a-2abb952ddc4d,bda08c56-d105-4977-a341-e8fb6881937d,5500,credit,2021-04-28
ef15a0c7-b7bd-4475-8bcf-38325fc79578,bdc0efca-fd3d-47e8-97c8-531a687af6c5,1770,credit,2021-08-11
ef15a0c7-b7bd-4475-8bcf-38325fc79578,bdc0efca-fd3d-47e8-97c8-531a687af6c5,5000,credit,2021-07-22
ef15a0c7-b7bd-4475-8bcf-38325fc79578,bdc0efca-fd3d-47e8-97c8-531a687af6c5,2500,credit,2021-09-08
ef15a0c7-b7bd-4475-8bcf-38325fc79578,bdc0efca-fd3d-47e8-97c8-531a687af6c5,3730,credit,2021-09-08
35b28e32-221f-422b-ae97-f9416afe294d,be0abd5f-e78f-4eb5-976e-c9e1514bac69,76000,credit,2021-06-14
1fe1a542-f4e0-4d64-896b-dc2747becf8e,be0f2e99-e60d-4d79-a726-bf31162c38f7,142586,credit,2021-09-02
1fe1a542-f4e0-4d64-896b-dc2747becf8e,be0f2e99-e60d-4d79-a726-bf31162c38f7,0.58,credit,2021-08-17
1fe1a542-f4e0-4d64-896b-dc2747becf8e,be0f2e99-e60d-4d79-a726-bf31162c38f7,180000,credit,2021-07-19
